rules	support	confidence	lift
{} => {liquor}	0.0103333333333333	0.0103333333333333	1
{} => {flower (seeds)}	0.012	0.012	1
{} => {condensed milk}	0.012	0.012	1
{} => {frozen dessert}	0.011	0.011	1
{} => {chocolate marshmallow}	0.011	0.011	1
{} => {salt}	0.0103333333333333	0.0103333333333333	1
{} => {dish cleaner}	0.0103333333333333	0.0103333333333333	1
{} => {white wine}	0.0203333333333333	0.0203333333333333	1
{} => {dishes}	0.016	0.016	1
{} => {packaged fruit/vegetables}	0.012	0.012	1
{} => {seasonal products}	0.0156666666666667	0.0156666666666667	1
{} => {chewing gum}	0.0193333333333333	0.0193333333333333	1
{} => {cling film/bags}	0.014	0.014	1
{} => {pasta}	0.0136666666666667	0.0136666666666667	1
{} => {pickled vegetables}	0.0163333333333333	0.0163333333333333	1
{} => {cake bar}	0.0146666666666667	0.0146666666666667	1
{} => {detergent}	0.016	0.016	1
{} => {frozen fish}	0.0133333333333333	0.0133333333333333	1
{} => {red/blush wine}	0.0203333333333333	0.0203333333333333	1
{} => {herbs}	0.0156666666666667	0.0156666666666667	1
{} => {soft cheese}	0.0153333333333333	0.0153333333333333	1
{} => {flour}	0.016	0.016	1
{} => {ice cream}	0.0243333333333333	0.0243333333333333	1
{} => {beverages}	0.0246666666666667	0.0246666666666667	1
{} => {semi-finished bread}	0.019	0.019	1
{} => {canned fish}	0.0166666666666667	0.0166666666666667	1
{} => {baking powder}	0.017	0.017	1
{} => {misc. beverages}	0.023	0.023	1
{} => {processed cheese}	0.0183333333333333	0.0183333333333333	1
{} => {specialty bar}	0.029	0.029	1
{} => {cat food}	0.0216666666666667	0.0216666666666667	1
{} => {meat}	0.0263333333333333	0.0263333333333333	1
{} => {specialty chocolate}	0.0323333333333333	0.0323333333333333	1
{} => {ham}	0.025	0.025	1
{} => {hard cheese}	0.0256666666666667	0.0256666666666667	1
{} => {butter milk}	0.0276666666666667	0.0276666666666667	1
{} => {candy}	0.0303333333333333	0.0303333333333333	1
{} => {UHT-milk}	0.033	0.033	1
{} => {frozen meals}	0.033	0.033	1
{} => {sliced cheese}	0.0273333333333333	0.0273333333333333	1
{} => {oil}	0.0296666666666667	0.0296666666666667	1
{} => {onions}	0.027	0.027	1
{} => {grapes}	0.0333333333333333	0.0333333333333333	1
{} => {dessert}	0.0326666666666667	0.0326666666666667	1
{} => {sugar}	0.0326666666666667	0.0326666666666667	1
{} => {hygiene articles}	0.0333333333333333	0.0333333333333333	1
{} => {salty snack}	0.0403333333333333	0.0403333333333333	1
{} => {canned beer}	0.0656666666666667	0.0656666666666667	1
{} => {hamburger meat}	0.0346666666666667	0.0346666666666667	1
{} => {cream cheese }	0.0373333333333333	0.0373333333333333	1
{} => {white bread}	0.0366666666666667	0.0366666666666667	1
{} => {waffles}	0.04	0.04	1
{} => {long life bakery product}	0.039	0.039	1
{} => {berries}	0.038	0.038	1
{} => {chicken}	0.0453333333333333	0.0453333333333333	1
{} => {coffee}	0.0536666666666667	0.0536666666666667	1
{} => {margarine}	0.05	0.05	1
{} => {frozen vegetables}	0.0476666666666667	0.0476666666666667	1
{} => {curd}	0.056	0.056	1
{} => {pork}	0.0536666666666667	0.0536666666666667	1
{} => {bottled beer}	0.0803333333333333	0.0803333333333333	1
{} => {chocolate}	0.058	0.058	1
{} => {beef}	0.0583333333333333	0.0583333333333333	1
{} => {frankfurter}	0.06	0.06	1
{} => {brown bread}	0.064	0.064	1
{} => {butter}	0.0546666666666667	0.0546666666666667	1
{} => {domestic eggs}	0.0586666666666667	0.0586666666666667	1
{} => {napkins}	0.059	0.059	1
{} => {newspapers}	0.0796666666666667	0.0796666666666667	1
{} => {whipped/sour cream}	0.0653333333333333	0.0653333333333333	1
{} => {fruit/vegetable juice}	0.0693333333333333	0.0693333333333333	1
{} => {pip fruit}	0.0713333333333333	0.0713333333333333	1
{} => {pastry}	0.091	0.091	1
{} => {citrus fruit}	0.0813333333333333	0.0813333333333333	1
{} => {shopping bags}	0.104333333333333	0.104333333333333	1
{} => {bottled water}	0.103333333333333	0.103333333333333	1
{} => {sausage}	0.097	0.097	1
{} => {tropical fruit}	0.103333333333333	0.103333333333333	1
{} => {root vegetables}	0.101	0.101	1
{} => {soda}	0.16	0.16	1
{} => {yogurt}	0.142666666666667	0.142666666666667	1
{} => {rolls/buns}	0.178333333333333	0.178333333333333	1
{} => {other vegetables}	0.187666666666667	0.187666666666667	1
{} => {whole milk}	0.253333333333333	0.253333333333333	1
{ham} => {whole milk}	0.0103333333333333	0.413333333333333	1.63157894736842
{whole milk} => {ham}	0.0103333333333333	0.0407894736842105	1.63157894736842
{hard cheese} => {whole milk}	0.01	0.38961038961039	1.53793574846206
{whole milk} => {hard cheese}	0.01	0.0394736842105263	1.53793574846206
{butter milk} => {whole milk}	0.0103333333333333	0.373493975903614	1.47431832593532
{whole milk} => {butter milk}	0.0103333333333333	0.0407894736842105	1.47431832593532
{frozen meals} => {whole milk}	0.012	0.363636363636364	1.43540669856459
{whole milk} => {frozen meals}	0.012	0.0473684210526316	1.43540669856459
{sliced cheese} => {whole milk}	0.0113333333333333	0.414634146341463	1.63671373555841
{whole milk} => {sliced cheese}	0.0113333333333333	0.0447368421052632	1.63671373555841
{oil} => {other vegetables}	0.0106666666666667	0.359550561797753	1.91589997405552
{other vegetables} => {oil}	0.0106666666666667	0.0568383658969805	1.91589997405552
{oil} => {whole milk}	0.012	0.404494382022472	1.5966883500887
{whole milk} => {oil}	0.012	0.0473684210526316	1.59668835008871
{onions} => {other vegetables}	0.0136666666666667	0.506172839506173	2.69719097427801
{other vegetables} => {onions}	0.0136666666666667	0.0728241563055062	2.69719097427801
{onions} => {whole milk}	0.0116666666666667	0.432098765432099	1.7056530214425
{whole milk} => {onions}	0.0116666666666667	0.0460526315789474	1.7056530214425
{grapes} => {other vegetables}	0.0123333333333333	0.37	1.97158081705151
{other vegetables} => {grapes}	0.0123333333333333	0.0657193605683837	1.97158081705151
{grapes} => {whole milk}	0.0106666666666667	0.32	1.26315789473684
{whole milk} => {grapes}	0.0106666666666667	0.0421052631578947	1.26315789473684
{dessert} => {other vegetables}	0.011	0.336734693877551	1.79432341320187
{other vegetables} => {dessert}	0.011	0.0586145648312611	1.79432341320187
{dessert} => {whole milk}	0.0123333333333333	0.377551020408163	1.49033297529538
{whole milk} => {dessert}	0.0123333333333333	0.0486842105263158	1.49033297529538
{sugar} => {whole milk}	0.0146666666666667	0.448979591836735	1.77228786251343
{whole milk} => {sugar}	0.0146666666666667	0.0578947368421053	1.77228786251343
{hygiene articles} => {whole milk}	0.0116666666666667	0.35	1.38157894736842
{whole milk} => {hygiene articles}	0.0116666666666667	0.0460526315789474	1.38157894736842
{salty snack} => {soda}	0.0106666666666667	0.264462809917355	1.65289256198347
{soda} => {salty snack}	0.0106666666666667	0.0666666666666667	1.65289256198347
{canned beer} => {rolls/buns}	0.01	0.152284263959391	0.853930452108734
{rolls/buns} => {canned beer}	0.01	0.0560747663551402	0.853930452108734
