rules	support	confidence	lift
{} => {liquor}	0.0103333333333333	0.0103333333333333	1
{} => {flower (seeds)}	0.012	0.012	1
{} => {condensed milk}	0.012	0.012	1
{} => {frozen dessert}	0.011	0.011	1
{} => {chocolate marshmallow}	0.011	0.011	1
{} => {salt}	0.0103333333333333	0.0103333333333333	1
{} => {dish cleaner}	0.0103333333333333	0.0103333333333333	1
{} => {packaged fruit/vegetables}	0.0116666666666667	0.0116666666666667	1
{} => {dishes}	0.016	0.016	1
{} => {white wine}	0.021	0.021	1
{} => {seasonal products}	0.0153333333333333	0.0153333333333333	1
{} => {chewing gum}	0.019	0.019	1
{} => {cling film/bags}	0.0136666666666667	0.0136666666666667	1
{} => {pasta}	0.0136666666666667	0.0136666666666667	1
{} => {pickled vegetables}	0.0163333333333333	0.0163333333333333	1
{} => {cake bar}	0.0146666666666667	0.0146666666666667	1
{} => {red/blush wine}	0.0203333333333333	0.0203333333333333	1
{} => {detergent}	0.016	0.016	1
{} => {frozen fish}	0.0133333333333333	0.0133333333333333	1
{} => {herbs}	0.0156666666666667	0.0156666666666667	1
{} => {soft cheese}	0.0153333333333333	0.0153333333333333	1
{} => {flour}	0.016	0.016	1
{} => {ice cream}	0.0243333333333333	0.0243333333333333	1
{} => {beverages}	0.0246666666666667	0.0246666666666667	1
{} => {semi-finished bread}	0.019	0.019	1
{} => {canned fish}	0.0166666666666667	0.0166666666666667	1
{} => {baking powder}	0.017	0.017	1
{} => {misc. beverages}	0.023	0.023	1
{} => {processed cheese}	0.0183333333333333	0.0183333333333333	1
{} => {specialty bar}	0.0286666666666667	0.0286666666666667	1
{} => {cat food}	0.0216666666666667	0.0216666666666667	1
{} => {specialty chocolate}	0.032	0.032	1
{} => {meat}	0.0276666666666667	0.0276666666666667	1
{} => {hard cheese}	0.0253333333333333	0.0253333333333333	1
{} => {butter milk}	0.0273333333333333	0.0273333333333333	1
{} => {ham}	0.026	0.026	1
{} => {candy}	0.0303333333333333	0.0303333333333333	1
{} => {UHT-milk}	0.033	0.033	1
{} => {sliced cheese}	0.0266666666666667	0.0266666666666667	1
{} => {frozen meals}	0.033	0.033	1
{} => {oil}	0.0296666666666667	0.0296666666666667	1
{} => {onions}	0.027	0.027	1
{} => {grapes}	0.0333333333333333	0.0333333333333333	1
{} => {dessert}	0.032	0.032	1
{} => {hygiene articles}	0.033	0.033	1
{} => {sugar}	0.0326666666666667	0.0326666666666667	1
{} => {salty snack}	0.04	0.04	1
{} => {canned beer}	0.065	0.065	1
{} => {hamburger meat}	0.0343333333333333	0.0343333333333333	1
{} => {cream cheese }	0.0373333333333333	0.0373333333333333	1
{} => {white bread}	0.037	0.037	1
{} => {waffles}	0.04	0.04	1
{} => {long life bakery product}	0.0383333333333333	0.0383333333333333	1
{} => {berries}	0.038	0.038	1
{} => {chicken}	0.046	0.046	1
{} => {coffee}	0.053	0.053	1
{} => {margarine}	0.0503333333333333	0.0503333333333333	1
{} => {frozen vegetables}	0.048	0.048	1
{} => {bottled beer}	0.079	0.079	1
{} => {curd}	0.0556666666666667	0.0556666666666667	1
{} => {pork}	0.054	0.054	1
{} => {chocolate}	0.058	0.058	1
{} => {frankfurter}	0.06	0.06	1
{} => {beef}	0.0586666666666667	0.0586666666666667	1
{} => {brown bread}	0.064	0.064	1
{} => {butter}	0.0546666666666667	0.0546666666666667	1
{} => {domestic eggs}	0.0583333333333333	0.0583333333333333	1
{} => {napkins}	0.059	0.059	1
{} => {newspapers}	0.0796666666666667	0.0796666666666667	1
{} => {whipped/sour cream}	0.0653333333333333	0.0653333333333333	1
{} => {fruit/vegetable juice}	0.0693333333333333	0.0693333333333333	1
{} => {pip fruit}	0.071	0.071	1
{} => {pastry}	0.0906666666666667	0.0906666666666667	1
{} => {citrus fruit}	0.0813333333333333	0.0813333333333333	1
{} => {shopping bags}	0.103666666666667	0.103666666666667	1
{} => {bottled water}	0.103	0.103	1
{} => {sausage}	0.0966666666666667	0.0966666666666667	1
{} => {tropical fruit}	0.103333333333333	0.103333333333333	1
{} => {root vegetables}	0.101333333333333	0.101333333333333	1
{} => {soda}	0.159666666666667	0.159666666666667	1
{} => {yogurt}	0.142666666666667	0.142666666666667	1
{} => {rolls/buns}	0.178	0.178	1
{} => {other vegetables}	0.186666666666667	0.186666666666667	1
{} => {whole milk}	0.253	0.253	1
{hard cheese} => {whole milk}	0.01	0.394736842105263	1.56022467235282
{whole milk} => {hard cheese}	0.01	0.0395256916996047	1.56022467235282
{butter milk} => {whole milk}	0.0103333333333333	0.378048780487805	1.49426395449725
{whole milk} => {butter milk}	0.0103333333333333	0.0408432147562582	1.49426395449725
{ham} => {whole milk}	0.0103333333333333	0.397435897435897	1.5708928752407
{whole milk} => {ham}	0.0103333333333333	0.0408432147562582	1.5708928752407
{sliced cheese} => {whole milk}	0.0113333333333333	0.425	1.6798418972332
{whole milk} => {sliced cheese}	0.0113333333333333	0.0447957839262187	1.6798418972332
{frozen meals} => {whole milk}	0.012	0.363636363636364	1.43729787998563
{whole milk} => {frozen meals}	0.012	0.0474308300395257	1.43729787998563
{oil} => {other vegetables}	0.0106666666666667	0.359550561797753	1.92616372391653
{other vegetables} => {oil}	0.0106666666666667	0.0571428571428571	1.92616372391653
{oil} => {whole milk}	0.012	0.404494382022472	1.59879202380424
{whole milk} => {oil}	0.012	0.0474308300395257	1.59879202380424
{onions} => {other vegetables}	0.0136666666666667	0.506172839506173	2.71164021164021
{other vegetables} => {onions}	0.0136666666666667	0.0732142857142857	2.71164021164021
{onions} => {whole milk}	0.0116666666666667	0.432098765432099	1.7079002586249
{whole milk} => {onions}	0.0116666666666667	0.0461133069828722	1.7079002586249
{grapes} => {other vegetables}	0.0123333333333333	0.37	1.98214285714286
{other vegetables} => {grapes}	0.0123333333333333	0.0660714285714286	1.98214285714286
{grapes} => {whole milk}	0.0106666666666667	0.32	1.26482213438735
{whole milk} => {grapes}	0.0106666666666667	0.0421607378129117	1.26482213438735
{dessert} => {other vegetables}	0.011	0.34375	1.84151785714286
{other vegetables} => {dessert}	0.011	0.0589285714285714	1.84151785714286
{dessert} => {whole milk}	0.0116666666666667	0.364583333333333	1.44104084321476
{whole milk} => {dessert}	0.0116666666666667	0.0461133069828722	1.44104084321476
{hygiene articles} => {whole milk}	0.0116666666666667	0.353535353535354	1.39737293887491
{whole milk} => {hygiene articles}	0.0116666666666667	0.0461133069828722	1.39737293887492
{sugar} => {whole milk}	0.0146666666666667	0.448979591836735	1.77462289263531
{whole milk} => {sugar}	0.0146666666666667	0.0579710144927536	1.77462289263532
{salty snack} => {soda}	0.0106666666666667	0.266666666666667	1.67014613778706
{soda} => {salty snack}	0.0106666666666667	0.0668058455114822	1.67014613778706
{canned beer} => {rolls/buns}	0.01	0.153846153846154	0.864304235090752
{rolls/buns} => {canned beer}	0.01	0.0561797752808989	0.864304235090752
{hamburger meat} => {other vegetables}	0.0146666666666667	0.427184466019417	2.28848821081831
{other vegetables} => {hamburger meat}	0.0146666666666667	0.0785714285714286	2.28848821081831
